Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Demand_Supply_Ratio
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.257273,2.0
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.8747527,1.4871794871794872
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.795469,1.3548387096774193
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012318,3.1785714285714284
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814224,3.5454545454545454
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606,1.6857142857142857
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.0615413,2.1627906976744184
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.8118636,1.5897435897435896
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125175,5.642857142857143
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933646,7.0
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986265,5.0588235294117645
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047,1.5789473684210527
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.4107217,3.0
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.242876,1.5
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888649,4.846153846153846
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684,3.25
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718,1.3571428571428572
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863,3.2857142857142856
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629,4.714285714285714
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103,4.428571428571429
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318,2.1333333333333333
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117256,2.0
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658,4.625
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.166525,2.0
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.6581337,2.526315789473684
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574981,4.3076923076923075
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744271,2.1818181818181817
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.6172973,1.2933333333333332
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.2270984,1.878787878787879
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848595,1.5
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.1314526,3.5714285714285716
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633,1.3392857142857142
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835,4.333333333333333
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537,1.4583333333333333
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328865,2.125
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.8387204,2.2325581395348837
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809468,2.5454545454545454
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293208,1.6666666666666667
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.2176617,4.666666666666667
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312,4.294117647058823
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.4067683,2.0
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.1521296,5.6
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599939,1.1975308641975309
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.8501642,7.0
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595075,2.3636363636363638
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626,2.9
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742,2.212121212121212
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.132355,3.2413793103448274
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462,1.9285714285714286
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113,11.166666666666666
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706,2.875
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.075791,5.0
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.1374636,2.0
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021029,1.130952380952381
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449,2.6875
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711,1.7636363636363637
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.6226264,1.6
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.587084,3.8
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.1181046,3.1333333333333333
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745627,2.272727272727273
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432508,1.6818181818181819
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.7943802,1.5128205128205128
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698092,2.1
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264,4.818181818181818
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291,1.234375
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339,2.5652173913043477
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.98601,1.3793103448275863
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520852,1.9
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593916,1.5769230769230769
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.588711,5.928571428571429
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.3385451,2.588235294117647
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429042,1.2465753424657535
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899,3.375
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671,1.5945945945945945
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.2581554,1.6744186046511629
